Pemandu_ID,Nama_Pemandu,Optional_Bahasa,Umur,Jenis_Kelamin,Tempat,Pendidikan_Terakhir,Pekerjaan,Nomor_Telepon,Price_per_hour,Time_duration_in_min,Rating,Avatars
PMD014,Karimah Rahimah,Jepang,38,Perempuan,Cikananga,SMP,Guru,+6281965274753,82000,240,4,xsgames.co/randomusers/avatar.php?g=female
PMD015,Gandi Lazuardi,Mandarin,37,Laki-laki,Manggarai,SMA,Pedagang,+6284197513290,149000,360,5,xsgames.co/randomusers/avatar.php?g=male
PMD016,Cecep Uwais,Mandarin,30,Laki-laki,Kota Sorong,SD,Guru,+6280079981396,52000,120,2,xsgames.co/randomusers/avatar.php?g=male
PMD017,Elvina Uyainah,Jepang,18,Perempuan,North Bengkulu,SMP,Guru,+6283924982920,148000,120,4,xsgames.co/randomusers/avatar.php?g=female
PMD018,Tri Lazuardi,Jepang,37,Laki-laki,Bitung,SD,Guru,+6288696311751,136000,360,5,xsgames.co/randomusers/avatar.php?g=male
PMD019,"Eja Januar, S.Pt",Jepang,39,Perempuan,New Hanover County,S2,Wartawan,+6280354358162,61000,180,1,xsgames.co/randomusers/avatar.php?g=female
PMD020,Ratna Wahyuni,Inggris,36,Perempuan,Kota Jakarta Selatan,SMA,PNS,+6281681705810,80000,360,2,xsgames.co/randomusers/avatar.php?g=female
PMD021,Ulva Susanti,Inggris,27,Perempuan,Kabupaten Aceh Tengah,SMA,Guru,+6286746744018,142000,180,3,xsgames.co/randomusers/avatar.php?g=female
PMD022,Okto Thamrin,Inggris,29,Laki-laki,Palangka Raya,SMA,Wiraswasta,+6280649019493,138000,60,4,xsgames.co/randomusers/avatar.php?g=male
PMD023,"Edi Tarihoran, S.IP",Mandarin,36,Perempuan,Bandung,S2,Dokter,+6286908172122,56000,180,5,xsgames.co/randomusers/avatar.php?g=female
PMD024,"Gangsar Rahayu, S.IP",Mandarin,17,Laki-laki,Banjarmasin,S1,Dokter,+6285034224243,104000,60,3,xsgames.co/randomusers/avatar.php?g=male
PMD025,Dadap Mulyani,Jepang,27,Perempuan,Garut,S2,Dokter,+6289403959382,132000,360,5,xsgames.co/randomusers/avatar.php?g=female
PMD026,Dr. Bakidin Pradipta,Mandarin,23,Perempuan,Kota Jakarta Barat,S1,Guru,+6282899693662,91000,240,2,xsgames.co/randomusers/avatar.php?g=female
PMD027,R. Alika Mansur,Jepang,34,Laki-laki,Jambi,S2,Guru,+6281582699105,144000,360,1,xsgames.co/randomusers/avatar.php?g=male
PMD028,Sabar Hakim,Mandarin,30,Laki-laki,Orange County,SD,Dokter,+6288739912298,149000,180,4,xsgames.co/randomusers/avatar.php?g=male
PMD029,"Tina Sitorus, M.Pd",Jepang,20,Perempuan,Kabupaten Bandung Barat,S2,PNS,+6284372131131,110000,180,5,xsgames.co/randomusers/avatar.php?g=female
PMD030,Raditya Kurniawan,Mandarin,33,Laki-laki,Kabupaten Batang Hari,SD,Wiraswasta,+6289319671067,75000,120,1,xsgames.co/randomusers/avatar.php?g=male
PMD031,Edward Prasetya,Mandarin,36,Laki-laki,Kota Lhokseumawe,SMP,Pengusaha,+6284708733505,59000,240,1,xsgames.co/randomusers/avatar.php?g=male
PMD032,Rosman Anggraini,Inggris,38,Perempuan,Surabaya,S2,Guru,+6282009177891,114000,360,5,xsgames.co/randomusers/avatar.php?g=female
PMD033,H. Mitra Tarihoran,Mandarin,32,Perempuan,Southeast Minahasa,S1,PNS,+6287771230175,116000,240,1,xsgames.co/randomusers/avatar.php?g=female
PMD034,Bala Prabowo,Mandarin,37,Laki-laki,Batu,SMP,Dokter,+6281781232372,89000,60,1,xsgames.co/randomusers/avatar.php?g=male
PMD035,Juli Nasyiah,Jepang,22,Perempuan,Jambi,SMA,Dokter,+6282562012382,125000,360,3,xsgames.co/randomusers/avatar.php?g=female
PMD036,Karimah Wijaya,Jepang,31,Laki-laki,Kota Jakarta Selatan,S1,Wiraswasta,+6283904429283,145000,180,4,xsgames.co/randomusers/avatar.php?g=male
PMD037,Asirwanda Prasetyo,Inggris,32,Laki-laki,Kabupaten Malang,SMP,Wiraswasta,+6286774617599,108000,180,2,xsgames.co/randomusers/avatar.php?g=male
PMD038,"Tgk. Unggul Pangestu, S.Pt",Mandarin,34,Perempuan,Agam,S1,PNS,+6281191867635,92000,180,3,xsgames.co/randomusers/avatar.php?g=female
PMD039,"Cengkal Samosir, S.T.",Mandarin,40,Laki-laki,Kota Sorong,S2,PNS,+6280999879644,142000,120,5,xsgames.co/randomusers/avatar.php?g=male
PMD040,Argono Suwarno,Jepang,21,Laki-laki,Jayapura,SMP,PNS,+6289191371360,78000,120,5,xsgames.co/randomusers/avatar.php?g=male
PMD041,Dt. Jumari Prasasta,Jepang,24,Laki-laki,Kota Yogyakarta,S1,Wartawan,+6283598075616,53000,120,3,xsgames.co/randomusers/avatar.php?g=male
PMD042,Panji Waskita,Jepang,28,Laki-laki,Kabupaten Konawe Selatan,SMA,Dokter,+6288637904970,68000,240,1,xsgames.co/randomusers/avatar.php?g=male
PMD043,Gading Haryanti,Inggris,20,Laki-laki,Surabaya,S2,PNS,+6286014975066,125000,360,5,xsgames.co/randomusers/avatar.php?g=male
PMD044,Padma Laksmiwati,Jepang,20,Perempuan,Kabupaten Malang,SMP,Pengusaha,+6286956096983,146000,360,4,xsgames.co/randomusers/avatar.php?g=female
PMD045,Prasetyo Pradipta,Inggris,40,Laki-laki,Kota Malang,SMP,Dokter,+6282016981525,136000,240,2,xsgames.co/randomusers/avatar.php?g=male
PMD046,Uli Yolanda,Inggris,18,Perempuan,Sukabumi,SMA,PNS,+6287702482966,97000,180,3,xsgames.co/randomusers/avatar.php?g=female
PMD047,Jefri Maryadi,Jepang,38,Laki-laki,Kabupaten Cianjur,SMA,Pengusaha,+6285247182874,125000,180,4,xsgames.co/randomusers/avatar.php?g=male
PMD048,Uda Firgantoro,Jepang,25,Laki-laki,Sumedang,S1,Pedagang,+6280818039666,94000,180,4,xsgames.co/randomusers/avatar.php?g=male
PMD049,Rini Mulyani,Mandarin,28,Perempuan,Sabang,SMP,Wartawan,+6286801981892,103000,360,1,xsgames.co/randomusers/avatar.php?g=female
PMD050,Jinawi Prasetya,Jepang,35,Laki-laki,Kabupaten Sorong,SMP,PNS,+6280473832051,66000,180,4,xsgames.co/randomusers/avatar.php?g=male
PMD051,Ulya Farida,Mandarin,22,Perempuan,Paris,SMA,Dokter,+6283683960119,108000,120,5,xsgames.co/randomusers/avatar.php?g=female
PMD052,Endah Suartini,Mandarin,36,Perempuan,Kabupaten Sukoharjo,SMP,Pengusaha,+6281219141599,125000,180,3,xsgames.co/randomusers/avatar.php?g=female
PMD053,Padmi Wijayanti,Mandarin,32,Perempuan,Bandung,SD,Dokter,+6282470080026,59000,240,3,xsgames.co/randomusers/avatar.php?g=female
PMD054,"Hj. Citra Uwais, S.IP",Jepang,27,Laki-laki,Padang Sidempuan,S1,Wartawan,+6281409979986,93000,300,1,xsgames.co/randomusers/avatar.php?g=male
PMD055,Jane Winarsih,Inggris,35,Perempuan,Sorong,SMP,PNS,+6285332368305,89000,300,3,xsgames.co/randomusers/avatar.php?g=female
PMD056,Ivan Hidayanto,Inggris,32,Laki-laki,Kota Balikpapan,SMP,Pengusaha,+6282550816314,125000,120,5,xsgames.co/randomusers/avatar.php?g=male
PMD057,Lanang Kuswoyo,Mandarin,22,Laki-laki,Sikka,SMP,Wiraswasta,+6287947327459,85000,300,5,xsgames.co/randomusers/avatar.php?g=male
PMD058,Dipa Adriansyah,Inggris,32,Laki-laki,Lackawanna County,SD,Pedagang,+6283952299160,82000,300,2,xsgames.co/randomusers/avatar.php?g=male
PMD059,Jane Yuliarti,Mandarin,27,Perempuan,Central Maluku,SD,Pengusaha,+6287415668199,85000,180,1,xsgames.co/randomusers/avatar.php?g=female
PMD060,Ina Fujiati,Jepang,33,Perempuan,Kabupaten Bandung,SMP,Dokter,+6284776979572,131000,60,3,xsgames.co/randomusers/avatar.php?g=female
PMD061,Puti Mayasari,Jepang,25,Laki-laki,Bandung Barat,S1,Wiraswasta,+6280651537532,147000,300,3,xsgames.co/randomusers/avatar.php?g=male
PMD062,"Padmi Dongoran, M.Farm",Jepang,21,Perempuan,Manado,S1,Dokter,+6289856988178,59000,300,3,xsgames.co/randomusers/avatar.php?g=female
PMD063,Yosef Setiawan,Mandarin,28,Laki-laki,Bandung Barat,SMA,PNS,+6289618202749,138000,300,1,xsgames.co/randomusers/avatar.php?g=male
PMD064,Gangsar Manullang,Jepang,17,Laki-laki,Leeds and Grenville United Counties,S1,Guru,+6283428827803,80000,240,1,xsgames.co/randomusers/avatar.php?g=male
PMD065,Arsipatra Adriansyah,Mandarin,29,Laki-laki,Kabupaten Bogor,SD,Pengusaha,+6289095757304,131000,300,5,xsgames.co/randomusers/avatar.php?g=male
PMD066,Cawisadi Marbun,Jepang,23,Laki-laki,Kota Sorong,S2,Wiraswasta,+6281370418654,56000,300,4,xsgames.co/randomusers/avatar.php?g=male
PMD067,Opung Tampubolon,Inggris,29,Laki-laki,Kabupaten Gunung MAS,SMP,Guru,+6288057535039,50000,60,5,xsgames.co/randomusers/avatar.php?g=male
PMD068,Laras Winarsih,Mandarin,23,Perempuan,Kabupaten Jayapura,SMA,Guru,+6287594990150,51000,240,3,xsgames.co/randomusers/avatar.php?g=female
PMD069,Lembah Saptono,Mandarin,23,Laki-laki,Kabupaten Gayo Lues,SMA,Pengusaha,+6286191017198,62000,120,1,xsgames.co/randomusers/avatar.php?g=male
PMD070,Gabriella Suryatmi,Jepang,26,Perempuan,Kabupaten Kaur,SMA,Dokter,+6285529249432,122000,60,1,xsgames.co/randomusers/avatar.php?g=female
PMD071,Latika Saptono,Inggris,34,Laki-laki,Asahan,S2,Wartawan,+6289281604360,86000,360,5,xsgames.co/randomusers/avatar.php?g=male
PMD072,Jessica Palastri,Jepang,27,Perempuan,Tasikmalaya,SMP,Pedagang,+6288554121027,79000,360,2,xsgames.co/randomusers/avatar.php?g=female
PMD073,Elvina Utama,Mandarin,24,Perempuan,Kabupaten Wonosobo,S1,Guru,+6289049967541,57000,360,3,xsgames.co/randomusers/avatar.php?g=female
PMD074,"R. Kayla Sihotang, S.Pd",Inggris,30,Perempuan,Bandung,S1,Wartawan,+6284497162199,53000,240,1,xsgames.co/randomusers/avatar.php?g=female
PMD075,Samiah Rahimah,Inggris,26,Perempuan,Kota Palembang,SMA,Pedagang,+6284120477754,73000,300,3,xsgames.co/randomusers/avatar.php?g=female
PMD076,Gaman Simbolon,Jepang,23,Perempuan,Sabang,S1,Wartawan,+6284433968143,136000,300,2,xsgames.co/randomusers/avatar.php?g=female
PMD077,Gamanto Kuswoyo,Mandarin,34,Laki-laki,Kota Medan,SMA,Wiraswasta,+6283374688807,66000,300,2,xsgames.co/randomusers/avatar.php?g=male
PMD078,"Wulan Mandasari, S.Pt",Inggris,29,Perempuan,Kota Bekasi,S2,Pengusaha,+6286522561781,131000,240,2,xsgames.co/randomusers/avatar.php?g=female
PMD079,Opung Gunarto,Inggris,23,Laki-laki,Lackawanna County,SMA,Wartawan,+6286873014892,141000,60,3,xsgames.co/randomusers/avatar.php?g=male
PMD080,Mahfud Sirait,Jepang,31,Laki-laki,West Halmahera,SD,Wartawan,+6280107023919,129000,180,5,xsgames.co/randomusers/avatar.php?g=male
PMD081,Mahfud Widodo,Inggris,35,Laki-laki,Gowa,SD,Dokter,+6285649711270,66000,60,4,xsgames.co/randomusers/avatar.php?g=male
PMD082,Agnes Suartini,Mandarin,26,Perempuan,Kota Yogyakarta,SMP,PNS,+6280314161417,105000,300,5,xsgames.co/randomusers/avatar.php?g=female
PMD083,Kenari Prasasta,Mandarin,21,Laki-laki,Kabupaten Ngada,S2,Dokter,+6288570183659,74000,300,1,xsgames.co/randomusers/avatar.php?g=male
PMD084,Ami Prastuti,Jepang,39,Perempuan,West Lombok,S1,PNS,+6284429354564,139000,60,2,xsgames.co/randomusers/avatar.php?g=female
PMD085,Ian Siregar,Inggris,38,Laki-laki,Kabupaten Ciamis,SMP,Dokter,+6283263134052,128000,300,3,xsgames.co/randomusers/avatar.php?g=male
PMD086,Oskar Kusumo,Inggris,17,Laki-laki,Kabupaten Badung,SD,Wiraswasta,+6284202682789,89000,240,2,xsgames.co/randomusers/avatar.php?g=male
PMD087,Ivan Suryono,Jepang,31,Perempuan,Kabupaten Badung,S1,Pedagang,+6280528743571,85000,60,5,xsgames.co/randomusers/avatar.php?g=female
PMD088,Lili Mayasari,Jepang,21,Perempuan,Banjarnegara,SMP,Wiraswasta,+6282102529978,60000,360,5,xsgames.co/randomusers/avatar.php?g=female
PMD089,"Dr. Bajragin Sihombing, S.Gz",Mandarin,26,Perempuan,Jambi,S2,Pedagang,+6282231666468,109000,300,3,xsgames.co/randomusers/avatar.php?g=female
PMD090,Dadi Kuswandari,Inggris,27,Laki-laki,Kendari,S2,Pengusaha,+6289762662916,131000,300,2,xsgames.co/randomusers/avatar.php?g=male
PMD091,Ajeng Mardhiyah,Mandarin,31,Perempuan,Kabupaten Bekasi,SMA,Pengusaha,+6280366954843,125000,60,4,xsgames.co/randomusers/avatar.php?g=female
PMD092,Aswani Purwanti,Inggris,36,Laki-laki,Kota Manado,S1,Dokter,+6281884811307,92000,60,2,xsgames.co/randomusers/avatar.php?g=male
PMD093,Ir. Taufan Winarsih,Inggris,31,Perempuan,Karo,S2,Pengusaha,+6289440331553,92000,300,3,xsgames.co/randomusers/avatar.php?g=female
PMD094,Yahya Tamba,Mandarin,40,Laki-laki,Banjarmasin,SMP,Pengusaha,+6281545205654,98000,240,5,xsgames.co/randomusers/avatar.php?g=male
PMD095,Kenes Widodo,Mandarin,24,Laki-laki,Kota Pekanbaru,SMP,Guru,+6282255604385,128000,240,5,xsgames.co/randomusers/avatar.php?g=male
PMD096,Zelaya Nuraini,Inggris,34,Perempuan,Davao del Norte,SMP,Pedagang,+6284743757145,140000,120,1,xsgames.co/randomusers/avatar.php?g=female
PMD097,Ira Laksmiwati,Jepang,20,Perempuan,Kota Manado,SMA,Wartawan,+6286546996521,63000,240,5,xsgames.co/randomusers/avatar.php?g=female
PMD098,Dian Widiastuti,Jepang,18,Laki-laki,Kabupaten Klaten,S1,Guru,+6282497108370,123000,60,2,xsgames.co/randomusers/avatar.php?g=male
PMD099,Ihsan Damanik,Mandarin,28,Laki-laki,Kota Jakarta Pusat,SMP,Dokter,+6282205279570,61000,360,1,xsgames.co/randomusers/avatar.php?g=male
PMD100,Ciaobella Usada,Inggris,34,Perempuan,Samarinda,SMA,PNS,+6288993113287,108000,120,5,xsgames.co/randomusers/avatar.php?g=female
PMD1000,Ana Nurdiyanti,Inggris,20,Perempuan,Batam,S1,Pengusaha,+6284819410681,54000,180,3,xsgames.co/randomusers/avatar.php?g=female
PMD1001,Suci Dabukke,Inggris,22,Laki-laki,Kabupaten Raja Ampat,S1,PNS,+6288540657566,109000,60,1,xsgames.co/randomusers/avatar.php?g=male
PMD1002,Prasetya Iswahyudi,Jepang,40,Perempuan,Kabupaten Garut,S2,Wiraswasta,+6287318595739,144000,360,2,xsgames.co/randomusers/avatar.php?g=female
PMD1003,Vino Kurniawan,Mandarin,29,Laki-laki,Kota Palangka Raya,SD,Pedagang,+6284196095294,89000,180,1,xsgames.co/randomusers/avatar.php?g=male
PMD1004,Catur Sihotang,Jepang,17,Laki-laki,Surabaya,SMP,Pedagang,+6286678637262,58000,60,2,xsgames.co/randomusers/avatar.php?g=male
PMD1005,Hairyanto Winarno,Mandarin,38,Laki-laki,Kota Sorong,SD,Pedagang,+6281735552359,119000,60,2,xsgames.co/randomusers/avatar.php?g=male
PMD1006,Oni Namaga,Mandarin,19,Perempuan,Kota Pekanbaru,SMP,Pengusaha,+6287970625445,87000,60,2,xsgames.co/randomusers/avatar.php?g=female
PMD1007,dr. Mariadi Wulandari,Inggris,29,Laki-laki,Chaffee County,S2,Dokter,+6282957673193,116000,120,3,xsgames.co/randomusers/avatar.php?g=male
PMD1008,Cut Gabriella Wijaya,Jepang,36,Laki-laki,Jambi,S2,PNS,+6283752551040,104000,300,1,xsgames.co/randomusers/avatar.php?g=male
PMD1009,R.M. Opung Pradipta,Mandarin,40,Perempuan,Hancock County,S1,PNS,+6282843304703,146000,240,2,xsgames.co/randomusers/avatar.php?g=female
PMD101,Maya Agustina,Jepang,31,Perempuan,Kota Bukittinggi,SMA,Wartawan,+6286577125837,91000,240,4,xsgames.co/randomusers/avatar.php?g=female
PMD1010,Laras Wijaya,Jepang,24,Laki-laki,Palembang,S2,Pedagang,+6285139795527,90000,60,2,xsgames.co/randomusers/avatar.php?g=male
PMD1011,Rendy Mustofa,Inggris,36,Laki-laki,Palembang,SMP,PNS,+6284591296841,51000,120,2,xsgames.co/randomusers/avatar.php?g=male
PMD1012,Tasnim Prabowo,Mandarin,35,Laki-laki,Kota Makassar,SMP,Dokter,+6285032999898,96000,360,1,xsgames.co/randomusers/avatar.php?g=male
PMD1013,Usyi Fujiati,Inggris,19,Perempuan,Palembang,SMP,Wartawan,+6285592174491,122000,60,1,xsgames.co/randomusers/avatar.php?g=female
PMD1014,Dr. Uli Situmorang,Jepang,40,Perempuan,Kota Depok,S2,Dokter,+6284089903445,110000,240,5,xsgames.co/randomusers/avatar.php?g=female
PMD1015,Nardi Novitasari,Jepang,23,Perempuan,Konawe,S1,Wiraswasta,+6289544182346,81000,240,4,xsgames.co/randomusers/avatar.php?g=female
PMD1016,"Embuh Manullang, S.H.",Inggris,29,Laki-laki,Kota Banjarmasin,S2,Wartawan,+6287440004896,121000,60,1,xsgames.co/randomusers/avatar.php?g=male
PMD1017,"R.A. Ayu Safitri, M.Pd",Mandarin,37,Laki-laki,Agam,S2,Wiraswasta,+6287069470017,54000,360,5,xsgames.co/randomusers/avatar.php?g=male
PMD1018,Paulin Suartini,Jepang,18,Perempuan,Tanah Bumbu,SMA,Pedagang,+6280394759936,68000,120,3,xsgames.co/randomusers/avatar.php?g=female
PMD1019,Wani Agustina,Mandarin,32,Laki-laki,Sukabumi,S1,Pengusaha,+6282587010780,82000,240,4,xsgames.co/randomusers/avatar.php?g=male
PMD102,Sidiq Ramadan,Jepang,25,Laki-laki,Sabang,SMA,PNS,+6285956818689,121000,180,5,xsgames.co/randomusers/avatar.php?g=male
PMD1020,Hartana Habibi,Inggris,29,Laki-laki,Kabupaten Gayo Lues,SD,PNS,+6285703973319,98000,60,1,xsgames.co/randomusers/avatar.php?g=male
PMD1021,Michelle Usamah,Inggris,33,Perempuan,Kabupaten Semarang,SMP,Pedagang,+6281376949324,74000,240,5,xsgames.co/randomusers/avatar.php?g=female
PMD1022,"Anita Natsir, S.Farm",Inggris,31,Laki-laki,Southeast Minahasa,S1,Dokter,+6281393260281,76000,180,5,xsgames.co/randomusers/avatar.php?g=male
PMD1023,Mariadi Tamba,Mandarin,37,Perempuan,Kota Bukittinggi,S1,Pengusaha,+6289223553530,52000,360,1,xsgames.co/randomusers/avatar.php?g=female
PMD1024,"KH. Cemeti Hidayat, S.E.",Inggris,23,Laki-laki,Kota Pekanbaru,S1,Wiraswasta,+6286883590736,123000,120,5,xsgames.co/randomusers/avatar.php?g=male
PMD1025,Emas Mahendra,Jepang,28,Laki-laki,Malang,SMP,Pedagang,+6285377071241,93000,240,3,xsgames.co/randomusers/avatar.php?g=male
PMD1026,Yusuf Ramadan,Jepang,22,Laki-laki,Sukabumi,SD,Wiraswasta,+6285706133868,124000,120,1,xsgames.co/randomusers/avatar.php?g=male
PMD1027,Putu Marpaung,Mandarin,37,Laki-laki,Bima,SD,Pedagang,+6289666759318,71000,60,1,xsgames.co/randomusers/avatar.php?g=male
PMD1028,"Dr. Mursita Pangestu, S.Psi",Jepang,31,Laki-laki,Konawe,S2,PNS,+6283257211478,78000,180,3,xsgames.co/randomusers/avatar.php?g=male
PMD1029,Anita Pratiwi,Mandarin,20,Perempuan,Bengkulu,SMA,Pedagang,+6280481996973,79000,240,3,xsgames.co/randomusers/avatar.php?g=female
PMD103,Rahman Prasetyo,Inggris,38,Perempuan,Kota Denpasar,S1,Wartawan,+6288497804323,64000,360,5,xsgames.co/randomusers/avatar.php?g=female
PMD1030,Endah Susanti,Mandarin,17,Perempuan,Sukabumi,SD,Guru,+6282480935547,141000,300,1,xsgames.co/randomusers/avatar.php?g=female
PMD1031,Rama Putra,Inggris,30,Laki-laki,South Pesisir,SMP,Pedagang,+6282104424623,82000,120,5,xsgames.co/randomusers/avatar.php?g=male
PMD1032,Belinda Novitasari,Mandarin,20,Perempuan,Gowa,SMP,Wiraswasta,+6289119506051,63000,300,3,xsgames.co/randomusers/avatar.php?g=female
PMD1033,Hesti Hutagalung,Mandarin,29,Laki-laki,Gowa,S1,Pedagang,+6285545197774,69000,300,2,xsgames.co/randomusers/avatar.php?g=male
PMD1034,Yunita Novitasari,Mandarin,31,Perempuan,Kota Samarinda,SMA,Guru,+6289078895909,79000,120,4,xsgames.co/randomusers/avatar.php?g=female
PMD1035,Kayla Handayani,Jepang,40,Perempuan,Jambi,SD,PNS,+6285717278543,138000,120,5,xsgames.co/randomusers/avatar.php?g=female
PMD1036,Dr. Karja Budiyanto,Inggris,39,Perempuan,Orange County,S2,Wiraswasta,+6287763484869,78000,180,1,xsgames.co/randomusers/avatar.php?g=female
PMD1037,"Jamalia Latupono, S.T.",Inggris,39,Perempuan,Kota Bekasi,S1,Pengusaha,+6280972428465,53000,300,1,xsgames.co/randomusers/avatar.php?g=female
PMD1038,"Emil Nugroho, S.E.I",Mandarin,28,Perempuan,Sukabumi,S1,Guru,+6287545909483,91000,300,5,xsgames.co/randomusers/avatar.php?g=female
PMD1039,Cakrabuana Jailani,Jepang,18,Laki-laki,Kabupaten Bengkulu Tengah,SMP,Guru,+6288008633744,59000,120,5,xsgames.co/randomusers/avatar.php?g=male
PMD104,Titin Palastri,Mandarin,33,Perempuan,Kota Samarinda,SMA,Pedagang,+6288143746730,99000,180,5,xsgames.co/randomusers/avatar.php?g=female
PMD1040,Empluk Damanik,Mandarin,19,Laki-laki,Batam,SD,Dokter,+6282799925272,55000,300,1,xsgames.co/randomusers/avatar.php?g=male
PMD1041,Emil Sinaga,Mandarin,24,Laki-laki,Kota Sorong,SMA,Pedagang,+6284609377709,79000,360,4,xsgames.co/randomusers/avatar.php?g=male
PMD1042,Kamila Yuniar,Inggris,24,Perempuan,Kota Pekanbaru,SMA,Guru,+6280818950386,70000,240,2,xsgames.co/randomusers/avatar.php?g=female
PMD1043,Paramita Purnawati,Mandarin,37,Perempuan,Kabupaten Aceh Singkil,S1,Dokter,+6287177509872,66000,120,4,xsgames.co/randomusers/avatar.php?g=female
PMD1044,Asmianto Anggriawan,Mandarin,38,Laki-laki,Tasikmalaya,SMP,Pedagang,+6282041119541,92000,360,1,xsgames.co/randomusers/avatar.php?g=male
PMD1045,Ami Nasyiah,Inggris,34,Perempuan,Bangalore Division,SMP,PNS,+6282254468649,108000,180,1,xsgames.co/randomusers/avatar.php?g=female
PMD1046,Hani Laksmiwati,Mandarin,26,Perempuan,Kabupaten Tanah Datar,SD,Guru,+6284950693976,50000,180,1,xsgames.co/randomusers/avatar.php?g=female
PMD1047,Patricia Anggraini,Jepang,37,Perempuan,Kota Jakarta Barat,SMP,Wiraswasta,+6285410577367,81000,300,2,xsgames.co/randomusers/avatar.php?g=female
PMD1048,Rusman Megantara,Mandarin,25,Laki-laki,Karo,SMA,Dokter,+6281722050671,115000,300,1,xsgames.co/randomusers/avatar.php?g=male
PMD1049,R.M. Gamani Prabowo,Jepang,22,Laki-laki,Jambi,S1,Guru,+6284003864660,145000,180,1,xsgames.co/randomusers/avatar.php?g=male
PMD105,Laila Wahyuni,Jepang,18,Perempuan,Kabupaten Gianyar,SMA,Pedagang,+6286823743966,71000,360,5,xsgames.co/randomusers/avatar.php?g=female
PMD1050,Eluh Hutapea,Inggris,28,Laki-laki,New York County,SD,Pengusaha,+6289537055243,139000,120,2,xsgames.co/randomusers/avatar.php?g=male
PMD1051,Gara Haryanto,Mandarin,32,Laki-laki,Kabupaten Konawe Selatan,SD,Dokter,+6282542919331,110000,120,4,xsgames.co/randomusers/avatar.php?g=male
PMD1052,"dr. Michelle Firmansyah, S.Farm",Mandarin,33,Laki-laki,Kota Makassar,S1,PNS,+6286382515062,68000,240,5,xsgames.co/randomusers/avatar.php?g=male
PMD1053,Lalita Wastuti,Jepang,34,Perempuan,Bandung,SD,Wartawan,+6280619710514,53000,60,3,xsgames.co/randomusers/avatar.php?g=female
PMD1054,Puspa Usada,Inggris,22,Perempuan,Kabupaten Garut,SMP,Pedagang,+6287440813430,75000,120,2,xsgames.co/randomusers/avatar.php?g=female
PMD1055,Jaiman Kusumo,Jepang,35,Laki-laki,Kabupaten Sumba Barat Daya,SMP,PNS,+6285113139826,137000,120,4,xsgames.co/randomusers/avatar.php?g=male
PMD1056,"Jono Marpaung, S.Ked",Jepang,18,Perempuan,Kota Padang,S2,Pengusaha,+6284555140128,67000,300,2,xsgames.co/randomusers/avatar.php?g=female
PMD1057,Kamal Tamba,Jepang,35,Laki-laki,Kabupaten Wonosobo,S2,Guru,+6282373723886,103000,60,2,xsgames.co/randomusers/avatar.php?g=male
